current_uA,Ia_med_gas,II_med_gas,Ib_med_gas,MN_med_gas,Ia_tib_ant,II_tib_ant,Ib_tib_ant,MN_tib_ant
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180,0.056667,0.000000,0.056667,0.000000,0.01333,0.000000,0.013333,0.000000
210,0.113333,0.028333,0.113333,0.000000,0.040000,0.00000,0.040000,0.000000
240,0.396667,0.056667,0.396667,0.000000,0.166667,0.013333,0.166667,0.000000
270,0.623333,0.113333,0.623333,0.000000,0.240000,0.03333,0.240000,0.000000
300,0.680000,0.212500,0.680000,0.000000,0.250000,0.060000,0.250000,0.000000
330,0.694167,0.297500,0.694167,0.000000,0.250000,0.126667,0.250000,0.000000
360,0.694167,0.439167,0.694167,0.000000,0.250000,0.150000,0.250000,0.000000
390,0.694167,0.495833,0.694167,0.000000,0.250000,0.173333,0.250000,0.000000
420,0.694167,0.524167,0.694167,0.000000,0.250000,0.206667,0.250000,0.000000
450,0.694167,0.581833,0.694167,0.000000,0.250000,0.216667,0.250000,0.000000
480,0.694167,0.623333,0.694167,0.000000,0.250000,0.220000,0.250000,0.000000
510,0.694167,0.651667,0.694167,0.000000,0.250000,0.2206667,0.250000,0.000000
540,0.694167,0.666833,0.694167,0.000000,0.250000,0.2233333,0.250000,0.000000
570,0.694167,0.694167,0.694167,0.000000,0.250000,0.226667,0.250000,0.000000
